"year","month_no","month_tr","month_en","date","gender","pop_15_plus","labor_force","employment","unemployment","not_in_labor_force","lfp_rate","emp_rate","unemp_rate"
2005,1,"Ocak","January",2005-01-01,"Female",24441,4716,4252,464,19725,19.3,17.4,9.8
2005,2,"Şubat","February",2005-02-01,"Female",24479,4669,4200,468,19810,19.1,17.2,10
2005,3,"Mart","March",2005-03-01,"Female",24514,4964,4512,452,19549,20.3,18.4,9.1
2005,4,"Nisan","April",2005-04-01,"Female",24552,5144,4701,443,19407,21,19.1,8.6
2005,5,"Mayıs","May",2005-05-01,"Female",24588,5589,5144,445,18999,22.7,20.9,8
2005,6,"Haziran","June",2005-06-01,"Female",24626,5576,5131,445,19050,22.6,20.8,8
2005,7,"Temmuz","July",2005-07-01,"Female",24663,5455,4995,460,19208,22.1,20.3,8.4
2005,8,"Ağustos","August",2005-08-01,"Female",24701,5457,5010,447,19244,22.1,20.3,8.2
2005,9,"Eylül","September",2005-09-01,"Female",24739,5464,4965,499,19275,22.1,20.1,9.1
2005,10,"Ekim","October",2005-10-01,"Female",24776,5371,4854,518,19404,21.7,19.6,9.6
2005,11,"Kasım","November",2005-11-01,"Female",24814,5340,4833,508,19474,21.5,19.5,9.5
2005,12,"Aralık","December",2005-12-01,"Female",24851,5170,4680,490,19680,20.8,18.8,9.5
2006,1,"Ocak","January",2006-01-01,"Female",24888,4669,4176,493,20219,18.8,16.8,10.6
2006,2,"Şubat","February",2006-02-01,"Female",24928,4769,4281,488,20158,19.1,17.2,10.2
2006,3,"Mart","March",2006-03-01,"Female",24962,4987,4524,463,19975,20,18.1,9.3
2006,4,"Nisan","April",2006-04-01,"Female",24998,5206,4790,415,19792,20.8,19.2,8
2006,5,"Mayıs","May",2006-05-01,"Female",25036,5735,5352,382,19301,22.9,21.4,6.7
2006,6,"Haziran","June",2006-06-01,"Female",25074,5755,5371,383,19319,23,21.4,6.7
2006,7,"Temmuz","July",2006-07-01,"Female",25111,5724,5157,567,19387,22.8,20.5,9.9
2006,8,"Ağustos","August",2006-08-01,"Female",25151,5714,5208,507,19436,22.7,20.7,8.9
2006,9,"Eylül","September",2006-09-01,"Female",25188,5704,5190,514,19484,22.6,20.6,9
2006,10,"Ekim","October",2006-10-01,"Female",25225,5435,4931,504,19790,21.5,19.5,9.3
2006,11,"Kasım","November",2006-11-01,"Female",25263,5399,4900,499,19864,21.4,19.4,9.2
2006,12,"Aralık","December",2006-12-01,"Female",25300,5289,4803,486,20011,20.9,19,9.2
2007,1,"Ocak","January",2007-01-01,"Female",25337,4982,4500,483,20355,19.7,17.8,9.7
2007,2,"Şubat","February",2007-02-01,"Female",25374,5144,4663,480,20230,20.3,18.4,9.3
2007,3,"Mart","March",2007-03-01,"Female",25407,5240,4771,468,20167,20.6,18.8,8.9
2007,4,"Nisan","April",2007-04-01,"Female",25444,5443,4989,454,20000,21.4,19.6,8.3
2007,5,"Mayıs","May",2007-05-01,"Female",25479,5822,5375,447,19657,22.8,21.1,7.7
2007,6,"Haziran","June",2007-06-01,"Female",25516,5894,5434,460,19622,23.1,21.3,7.8
2007,7,"Temmuz","July",2007-07-01,"Female",25551,5664,5156,508,19887,22.2,20.2,9
2007,8,"Ağustos","August",2007-08-01,"Female",25588,5649,5145,504,19939,22.1,20.1,8.9
2007,9,"Eylül","September",2007-09-01,"Female",25624,5660,5110,549,19965,22.1,19.9,9.7
2007,10,"Ekim","October",2007-10-01,"Female",25659,5278,4744,534,20381,20.6,18.5,10.1
2007,11,"Kasım","November",2007-11-01,"Female",25696,5200,4692,508,20496,20.2,18.3,9.8
2007,12,"Aralık","December",2007-12-01,"Female",25732,5106,4606,499,20626,19.8,17.9,9.8
2008,1,"Ocak","January",2008-01-01,"Female",25764,4961,4426,534,20804,19.3,17.2,10.8
2008,2,"Şubat","February",2008-02-01,"Female",25792,5112,4554,558,20680,19.8,17.7,10.9
2008,3,"Mart","March",2008-03-01,"Female",25819,5366,4826,540,20453,20.8,18.7,10.1
2008,4,"Nisan","April",2008-04-01,"Female",25847,5649,5153,496,20198,21.9,19.9,8.8
2008,5,"Mayıs","May",2008-05-01,"Female",25873,5931,5450,482,19942,22.9,21.1,8.1
2008,6,"Haziran","June",2008-06-01,"Female",25901,6184,5678,506,19717,23.9,21.9,8.2
2008,7,"Temmuz","July",2008-07-01,"Female",25928,6064,5484,580,19864,23.4,21.1,9.6
2008,8,"Ağustos","August",2008-08-01,"Female",25956,5985,5400,585,19971,23.1,20.8,9.8
2008,9,"Eylül","September",2008-09-01,"Female",25984,6110,5471,639,19874,23.5,21.1,10.5
2008,10,"Ekim","October",2008-10-01,"Female",26011,5868,5227,640,20144,22.6,20.1,10.9
2008,11,"Kasım","November",2008-11-01,"Female",26039,5712,5061,651,20327,21.9,19.4,11.4
2008,12,"Aralık","December",2008-12-01,"Female",26066,5746,5067,679,20320,22,19.4,11.8
2009,1,"Ocak","January",2009-01-01,"Female",26102,5673,4913,760,20429,21.7,18.8,13.4
2009,2,"Şubat","February",2009-02-01,"Female",26136,5526,4698,828,20610,21.1,18,15
2009,3,"Mart","March",2009-03-01,"Female",26171,5965,5128,837,20206,22.8,19.6,14
2009,4,"Nisan","April",2009-04-01,"Female",26210,6225,5416,809,19985,23.8,20.7,13
2009,5,"Mayıs","May",2009-05-01,"Female",26247,6259,5469,789,19988,23.8,20.8,12.6
2009,6,"Haziran","June",2009-06-01,"Female",26285,6695,5898,796,19590,25.5,22.4,11.9
2009,7,"Temmuz","July",2009-07-01,"Female",26322,6691,5824,867,19631,25.4,22.1,13
2009,8,"Ağustos","August",2009-08-01,"Female",26360,6430,5576,854,19930,24.4,21.2,13.3
2009,9,"Eylül","September",2009-09-01,"Female",26399,6663,5771,892,19736,25.2,21.9,13.4
2009,10,"Ekim","October",2009-10-01,"Female",26436,6487,5679,807,19949,24.5,21.5,12.4
2009,11,"Kasım","November",2009-11-01,"Female",26474,6314,5560,754,20159,23.9,21,11.9
2009,12,"Aralık","December",2009-12-01,"Female",26511,6297,5547,749,20214,23.8,20.9,11.9
2010,1,"Ocak","January",2010-01-01,"Female",26554,6234,5407,827,20320,23.5,20.4,13.3
2010,2,"Şubat","February",2010-02-01,"Female",26603,6251,5383,869,20352,23.5,20.2,13.9
2010,3,"Mart","March",2010-03-01,"Female",26650,6559,5721,838,20092,24.6,21.5,12.8
2010,4,"Nisan","April",2010-04-01,"Female",26696,6731,5954,777,19965,25.2,22.3,11.5
2010,5,"Mayıs","May",2010-05-01,"Female",26743,6912,6177,735,19831,25.8,23.1,10.6
2010,6,"Haziran","June",2010-06-01,"Female",26792,7074,6337,737,19718,26.4,23.7,10.4
2010,7,"Temmuz","July",2010-07-01,"Female",26839,7050,6235,815,19789,26.3,23.2,11.6
2010,8,"Ağustos","August",2010-08-01,"Female",26888,6872,6060,812,20016,25.6,22.5,11.8
2010,9,"Eylül","September",2010-09-01,"Female",26937,6969,6108,860,19968,25.9,22.7,12.3
2010,10,"Ekim","October",2010-10-01,"Female",26984,6829,6031,798,20155,25.3,22.4,11.7
2010,11,"Kasım","November",2010-11-01,"Female",27033,6682,5926,757,20351,24.7,21.9,11.3
2010,12,"Aralık","December",2010-12-01,"Female",27080,6685,5946,739,20395,24.7,22,11.1
2011,1,"Ocak","January",2011-01-01,"Female",27126,6510,5741,769,20616,24,21.2,11.8
2011,2,"Şubat","February",2011-02-01,"Female",27170,6646,5859,787,20524,24.5,21.6,11.8
2011,3,"Mart","March",2011-03-01,"Female",27209,6993,6230,762,20216,25.7,22.9,10.9
2011,4,"Nisan","April",2011-04-01,"Female",27252,7045,6303,741,20208,25.9,23.1,10.5
2011,5,"Mayıs","May",2011-05-01,"Female",27294,7505,6776,730,19789,27.5,24.8,9.7
2011,6,"Haziran","June",2011-06-01,"Female",27337,7609,6867,742,19729,27.8,25.1,9.7
2011,7,"Temmuz","July",2011-07-01,"Female",27380,7475,6676,800,19904,27.3,24.4,10.7
2011,8,"Ağustos","August",2011-08-01,"Female",27423,7418,6656,762,20005,27.1,24.3,10.3
2011,9,"Eylül","September",2011-09-01,"Female",27466,7431,6655,777,20035,27.1,24.2,10.5
2011,10,"Ekim","October",2011-10-01,"Female",27508,7240,6522,718,20268,26.3,23.7,9.9
2011,11,"Kasım","November",2011-11-01,"Female",27552,6967,6286,682,20584,25.3,22.8,9.8
2011,12,"Aralık","December",2011-12-01,"Female",27594,6978,6312,666,20615,25.3,22.9,9.5
2012,1,"Ocak","January",2012-01-01,"Female",27636,6754,6051,703,20882,24.4,21.9,10.4
2012,2,"Şubat","February",2012-02-01,"Female",27678,6719,5992,727,20959,24.3,21.6,10.8
2012,3,"Mart","March",2012-03-01,"Female",27718,7186,6484,702,20532,25.9,23.4,9.8
2012,4,"Nisan","April",2012-04-01,"Female",27760,7277,6618,658,20483,26.2,23.8,9
2012,5,"Mayıs","May",2012-05-01,"Female",27800,7742,7105,636,20059,27.8,25.6,8.2
2012,6,"Haziran","June",2012-06-01,"Female",27843,7808,7161,646,20035,28,25.7,8.3
2012,7,"Temmuz","July",2012-07-01,"Female",27883,7581,6874,707,20303,27.2,24.7,9.3
2012,8,"Ağustos","August",2012-08-01,"Female",27925,7528,6816,713,20397,27,24.4,9.5
2012,9,"Eylül","September",2012-09-01,"Female",27967,7615,6823,792,20352,27.2,24.4,10.4
2012,10,"Ekim","October",2012-10-01,"Female",28008,7746,6951,794,20262,27.7,24.8,10.3
2012,11,"Kasım","November",2012-11-01,"Female",28050,7584,6797,787,20466,27,24.2,10.4
2012,12,"Aralık","December",2012-12-01,"Female",28091,7529,6744,785,20562,26.8,24,10.4
2013,1,"Ocak","January",2013-01-01,"Female",28133,7485,6662,823,20648,26.6,23.7,11
2013,2,"Şubat","February",2013-02-01,"Female",28175,7455,6605,850,20720,26.5,23.4,11.4
2013,3,"Mart","March",2013-03-01,"Female",28213,7769,6933,836,20444,27.5,24.6,10.8
2013,4,"Nisan","April",2013-04-01,"Female",28255,7925,7113,812,20330,28,25.2,10.3
2013,5,"Mayıs","May",2013-05-01,"Female",28296,8303,7508,795,19993,29.3,26.5,9.6
2013,6,"Haziran","June",2013-06-01,"Female",28338,8288,7478,811,20050,29.2,26.4,9.8
2013,7,"Temmuz","July",2013-07-01,"Female",28379,8105,7222,882,20275,28.6,25.4,10.9
2013,8,"Ağustos","August",2013-08-01,"Female",28421,7970,7103,867,20452,28,25,10.9
2013,9,"Eylül","September",2013-09-01,"Female",28464,7970,7035,935,20493,28,24.7,11.7
2013,10,"Ekim","October",2013-10-01,"Female",28504,7976,7060,916,20528,28,24.8,11.5
2013,11,"Kasım","November",2013-11-01,"Female",28547,7770,6873,897,20776,27.2,24.1,11.6
2013,12,"Aralık","December",2013-12-01,"Female",28587,7875,6993,883,20712,27.5,24.5,11.2
2014,1,"Ocak","January",2014-01-01,"Female",28628,7731,6855,876,20897,27,23.9,11.3
2014,2,"Şubat","February",2014-02-01,"Female",28667,8062,7071,991,20605,28.1,24.7,12.3
2014,3,"Mart","March",2014-03-01,"Female",28703,8558,7642,916,20144,29.8,26.6,10.7
2014,4,"Nisan","April",2014-04-01,"Female",28742,8544,7646,898,20199,29.7,26.6,10.5
2014,5,"Mayıs","May",2014-05-01,"Female",28780,8862,7954,908,19918,30.8,27.6,10.2
2014,6,"Haziran","June",2014-06-01,"Female",28820,9001,8012,989,19819,31.2,27.8,11
2014,7,"Temmuz","July",2014-07-01,"Female",28858,8619,7619,1000,20239,29.9,26.4,11.6
2014,8,"Ağustos","August",2014-08-01,"Female",28897,8878,7746,1131,20020,30.7,26.8,12.7
2014,9,"Eylül","September",2014-09-01,"Female",28936,8940,7755,1185,19996,30.9,26.8,13.3
2014,10,"Ekim","October",2014-10-01,"Female",28974,8911,7669,1242,20063,30.8,26.5,13.9
2014,11,"Kasım","November",2014-11-01,"Female",29014,8695,7591,1104,20319,30,26.2,12.7
2014,12,"Aralık","December",2014-12-01,"Female",29052,8655,7561,1094,20397,29.8,26,12.6
2015,1,"Ocak","January",2015-01-01,"Female",29090,8378,7284,1094,20711,28.8,25,13.1
2015,2,"Şubat","February",2015-02-01,"Female",29125,8759,7546,1213,20366,30.1,25.9,13.9
2015,3,"Mart","March",2015-03-01,"Female",29157,8983,7879,1105,20174,30.8,27,12.3
2015,4,"Nisan","April",2015-04-01,"Female",29192,8959,7887,1072,20234,30.7,27,12
2015,5,"Mayıs","May",2015-05-01,"Female",29227,9396,8382,1014,19831,32.1,28.7,10.8
2015,6,"Haziran","June",2015-06-01,"Female",29262,9486,8355,1132,19776,32.4,28.6,11.9
2015,7,"Temmuz","July",2015-07-01,"Female",29299,9096,7939,1157,20203,31,27.1,12.7
2015,8,"Ağustos","August",2015-08-01,"Female",29341,9525,8299,1225,19816,32.5,28.3,12.9
2015,9,"Eylül","September",2015-09-01,"Female",29382,9450,8174,1275,19932,32.2,27.8,13.5
2015,10,"Ekim","October",2015-10-01,"Female",29422,9378,8133,1245,20044,31.9,27.6,13.3
2015,11,"Kasım","November",2015-11-01,"Female",29464,9334,8186,1148,20130,31.7,27.8,12.3
2015,12,"Aralık","December",2015-12-01,"Female",29504,9205,8006,1199,20298,31.2,27.1,13
2016,1,"Ocak","January",2016-01-01,"Female",29539,8940,7782,1158,20599,30.3,26.3,13
2016,2,"Şubat","February",2016-02-01,"Female",29566,9208,8029,1179,20358,31.1,27.2,12.8
2016,3,"Mart","March",2016-03-01,"Female",29592,9347,8227,1120,20245,31.6,27.8,12
2016,4,"Nisan","April",2016-04-01,"Female",29619,9394,8397,998,20225,31.7,28.3,10.6
2016,5,"Mayıs","May",2016-05-01,"Female",29646,9904,8841,1063,19742,33.4,29.8,10.7
2016,6,"Haziran","June",2016-06-01,"Female",29674,9783,8603,1180,19891,33,29,12.1
2016,7,"Temmuz","July",2016-07-01,"Female",29706,9701,8341,1360,20006,32.7,28.1,14
2016,8,"Ağustos","August",2016-08-01,"Female",29747,9933,8463,1470,19814,33.4,28.5,14.8
2016,9,"Eylül","September",2016-09-01,"Female",29787,9884,8280,1604,19902,33.2,27.8,16.2
2016,10,"Ekim","October",2016-10-01,"Female",29826,10007,8399,1608,19819,33.6,28.2,16.1
2016,11,"Kasım","November",2016-11-01,"Female",29866,9765,8256,1509,20101,32.7,27.6,15.5
2016,12,"Aralık","December",2016-12-01,"Female",29905,9526,8018,1508,20378,31.9,26.8,15.8
2017,1,"Ocak","January",2017-01-01,"Female",30056,9459,8058,1401,20597,31.5,26.8,14.8
2017,2,"Şubat","February",2017-02-01,"Female",30091,9743,8262,1481,20348,32.4,27.5,15.2
2017,3,"Mart","March",2017-03-01,"Female",30123,9828,8472,1356,20295,32.6,28.1,13.8
2017,4,"Nisan","April",2017-04-01,"Female",30157,9996,8715,1281,20162,33.1,28.9,12.8
2017,5,"Mayıs","May",2017-05-01,"Female",30191,10238,8947,1292,19953,33.9,29.6,12.6
2017,6,"Haziran","June",2017-06-01,"Female",30226,10256,8886,1370,19970,33.9,29.4,13.4
2017,7,"Temmuz","July",2017-07-01,"Female",30260,10208,8753,1455,20052,33.7,28.9,14.3
2017,8,"Ağustos","August",2017-08-01,"Female",30295,10356,8764,1592,19939,34.2,28.9,15.4
2017,9,"Eylül","September",2017-09-01,"Female",30330,10406,8879,1527,19924,34.3,29.3,14.7
2017,10,"Ekim","October",2017-10-01,"Female",30364,10474,9005,1469,19889,34.5,29.7,14
2017,11,"Kasım","November",2017-11-01,"Female",30398,10255,8918,1337,20144,33.7,29.3,13
2017,12,"Aralık","December",2017-12-01,"Female",30432,10107,8813,1293,20325,33.2,29,12.8
2018,1,"Ocak","January",2018-01-01,"Female",30467,9951,8634,1317,20516,32.7,28.3,13.2
2018,2,"Şubat","February",2018-02-01,"Female",30500,10156,8758,1398,20344,33.3,28.7,13.8
2018,3,"Mart","March",2018-03-01,"Female",30530,10269,8982,1287,20261,33.6,29.4,12.5
2018,4,"Nisan","April",2018-04-01,"Female",30564,10356,9139,1217,20207,33.9,29.9,11.8
2018,5,"Mayıs","May",2018-05-01,"Female",30596,10593,9306,1286,20003,34.6,30.4,12.1
2018,6,"Haziran","June",2018-06-01,"Female",30629,10587,9233,1354,20043,34.6,30.1,12.8
2018,7,"Temmuz","July",2018-07-01,"Female",30662,10599,9091,1508,20062,34.6,29.6,14.2
2018,8,"Ağustos","August",2018-08-01,"Female",30695,10637,9025,1611,20059,34.7,29.4,15.1
2018,9,"Eylül","September",2018-09-01,"Female",30728,10877,9210,1668,19851,35.4,30,15.3
2018,10,"Ekim","October",2018-10-01,"Female",30761,10610,9088,1523,20150,34.5,29.5,14.4
2018,11,"Kasım","November",2018-11-01,"Female",30794,10459,8963,1496,20335,34,29.1,14.3
2018,12,"Aralık","December",2018-12-01,"Female",30827,10319,8780,1539,20508,33.5,28.5,14.9
2019,1,"Ocak","January",2019-01-01,"Female",30865,10263,8587,1676,20602,33.2,27.8,16.3
2019,2,"Şubat","February",2019-02-01,"Female",30908,10542,8714,1828,20366,34.1,28.2,17.3
2019,3,"Mart","March",2019-03-01,"Female",30947,10689,8953,1736,20257,34.5,28.9,16.2
2019,4,"Nisan","April",2019-04-01,"Female",30990,10630,9079,1551,20360,34.3,29.3,14.6
2019,5,"Mayıs","May",2019-05-01,"Female",31031,10717,9143,1574,20314,34.5,29.5,14.7
2019,6,"Haziran","June",2019-06-01,"Female",31075,10710,9068,1643,20364,34.5,29.2,15.3
2019,7,"Temmuz","July",2019-07-01,"Female",31116,10909,9063,1846,20207,35.1,29.1,16.9
2019,8,"Ağustos","August",2019-08-01,"Female",31160,10884,8957,1927,20275,34.9,28.7,17.7
2019,9,"Eylül","September",2019-09-01,"Female",31202,11015,9030,1985,20187,35.3,28.9,18
2019,10,"Ekim","October",2019-10-01,"Female",31244,10817,9052,1764,20428,34.6,29,16.3
2019,11,"Kasım","November",2019-11-01,"Female",31288,10679,8924,1755,20609,34.1,28.5,16.4
2019,12,"Aralık","December",2019-12-01,"Female",31329,10234,8535,1698,21095,32.7,27.2,16.6
2020,1,"Ocak","January",2020-01-01,"Female",31374,10075,8421,1654,21298,32.1,26.8,16.4
2020,2,"Şubat","February",2020-02-01,"Female",31420,10120,8590,1530,21299,32.2,27.3,15.1
2020,3,"Mart","March",2020-03-01,"Female",31463,9286,7943,1343,22177,29.5,25.2,14.5
2020,4,"Nisan","April",2020-04-01,"Female",31509,9076,7940,1136,22433,28.8,25.2,12.5
2020,5,"Mayıs","May",2020-05-01,"Female",31553,9321,8151,1171,22232,29.5,25.8,12.6
2020,6,"Haziran","June",2020-06-01,"Female",31599,9801,8377,1424,21798,31,26.5,14.5
2020,7,"Temmuz","July",2020-07-01,"Female",31644,10041,8410,1632,21602,31.7,26.6,16.2
2020,8,"Ağustos","August",2020-08-01,"Female",31690,10153,8558,1595,21537,32,27,15.7
2020,9,"Eylül","September",2020-09-01,"Female",31735,10079,8511,1568,21656,31.8,26.8,15.6
2020,10,"Ekim","October",2020-10-01,"Female",31780,9880,8367,1513,21900,31.1,26.3,15.3
2020,11,"Kasım","November",2020-11-01,"Female",31826,9554,8155,1399,22273,30,25.6,14.6
2020,12,"Aralık","December",2020-12-01,"Female",31871,9438,8100,1339,22433,29.6,25.4,14.2
2021,1,"Ocak","January",2021-01-01,"Female",31917,9758,8319,1438,22160,30.6,26.1,14.7
2021,2,"Şubat","February",2021-02-01,"Female",31965,10114,8484,1630,21851,31.6,26.5,16.1
2021,3,"Mart","March",2021-03-01,"Female",32007,10056,8463,1593,21951,31.4,26.4,15.8
2021,4,"Nisan","April",2021-04-01,"Female",32054,10384,8919,1465,21670,32.4,27.8,14.1
2021,5,"Mayıs","May",2021-05-01,"Female",32100,10061,8685,1376,22039,31.3,27.1,13.7
2021,6,"Haziran","June",2021-06-01,"Female",32147,10387,9008,1378,21760,32.3,28,13.3
2021,7,"Temmuz","July",2021-07-01,"Female",32193,10936,9316,1620,21256,34,28.9,14.8
2021,8,"Ağustos","August",2021-08-01,"Female",32240,10889,9156,1733,21351,33.8,28.4,15.9
2021,9,"Eylül","September",2021-09-01,"Female",32287,11196,9473,1722,21091,34.7,29.3,15.4
2021,10,"Ekim","October",2021-10-01,"Female",32333,11181,9607,1574,21151,34.6,29.7,14.1
2021,11,"Kasım","November",2021-11-01,"Female",32380,10972,9386,1586,21407,33.9,29,14.5
2021,12,"Aralık","December",2021-12-01,"Female",32425,10896,9401,1495,21529,33.6,29,13.7
2022,1,"Ocak","January",2022-01-01,"Female",32468,10920,9412,1508,21548,33.6,29,13.8
2022,2,"Şubat","February",2022-02-01,"Female",32506,10974,9419,1555,21533,33.8,29,14.2
2022,3,"Mart","March",2022-03-01,"Female",32541,10844,9343,1500,21697,33.3,28.7,13.8
2022,4,"Nisan","April",2022-04-01,"Female",32579,11208,9735,1473,21371,34.4,29.9,13.1
2022,5,"Mayıs","May",2022-05-01,"Female",32615,11452,10056,1396,21163,35.1,30.8,12.2
2022,6,"Haziran","June",2022-06-01,"Female",32653,11512,10017,1495,21141,35.3,30.7,13
2022,7,"Temmuz","July",2022-07-01,"Female",32691,11418,9849,1569,21273,34.9,30.1,13.7
2022,8,"Ağustos","August",2022-08-01,"Female",32729,11640,10083,1557,21088,35.6,30.8,13.4
2022,9,"Eylül","September",2022-09-01,"Female",32767,11774,10174,1600,20992,35.9,31,13.6
2022,10,"Ekim","October",2022-10-01,"Female",32804,11879,10282,1597,20925,36.2,31.3,13.4
2022,11,"Kasım","November",2022-11-01,"Female",32842,12127,10585,1542,20714,36.9,32.2,12.7
2022,12,"Aralık","December",2022-12-01,"Female",32878,11737,10026,1711,21141,35.7,30.5,14.6
2023,1,"Ocak","January",2023-01-01,"Female",32910,11595,9983,1612,21315,35.2,30.3,13.9
2023,2,"Şubat","February",2023-02-01,"Female",32935,11728,10179,1550,21206,35.6,30.9,13.2
2023,3,"Mart","March",2023-03-01,"Female",32957,11460,9875,1585,21497,34.8,30,13.8
2023,4,"Nisan","April",2023-04-01,"Female",32981,11821,10237,1584,21160,35.8,31,13.4
2023,5,"Mayıs","May",2023-05-01,"Female",33005,11815,10448,1367,21190,35.8,31.7,11.6
2023,6,"Haziran","June",2023-06-01,"Female",33030,11736,10273,1463,21293,35.5,31.1,12.5
2023,7,"Temmuz","July",2023-07-01,"Female",33053,12031,10437,1593,21022,36.4,31.6,13.2
2023,8,"Ağustos","August",2023-08-01,"Female",33078,12017,10437,1580,21061,36.3,31.6,13.1
2023,9,"Eylül","September",2023-09-01,"Female",33102,11947,10413,1534,21155,36.1,31.5,12.8
2023,10,"Ekim","October",2023-10-01,"Female",33126,12002,10661,1341,21124,36.2,32.2,11.2
2023,11,"Kasım","November",2023-11-01,"Female",33151,11917,10551,1365,21234,35.9,31.8,11.5
2023,12,"Aralık","December",2023-12-01,"Female",33175,11894,10426,1468,21281,35.9,31.4,12.3
2024,1,"Ocak","January",2024-01-01,"Female",33197,11978,10556,1422,21219,36.1,31.8,11.9
2024,2,"Şubat","February",2024-02-01,"Female",33216,12100,10708,1392,21116,36.4,32.2,11.5
2024,3,"Mart","March",2024-03-01,"Female",33235,12099,10623,1476,21136,36.4,32,12.2
2024,4,"Nisan","April",2024-04-01,"Female",33254,12024,10740,1284,21230,36.2,32.3,10.7
2024,5,"Mayıs","May",2024-05-01,"Female",33272,12352,11150,1202,20921,37.1,33.5,9.7
2024,6,"Haziran","June",2024-06-01,"Female",33292,12154,10680,1474,21138,36.5,32.1,12.1
2024,7,"Temmuz","July",2024-07-01,"Female",33311,12372,10744,1629,20938,37.1,32.3,13.2
2024,8,"Ağustos","August",2024-08-01,"Female",33330,12446,10956,1490,20884,37.3,32.9,12
2024,9,"Eylül","September",2024-09-01,"Female",33350,12487,10852,1635,20862,37.4,32.5,13.1
2024,10,"Ekim","October",2024-10-01,"Female",33368,12627,11092,1535,20742,37.8,33.2,12.2
2024,11,"Kasım","November",2024-11-01,"Female",33388,12315,10921,1393,21073,36.9,32.7,11.3
2024,12,"Aralık","December",2024-12-01,"Female",33407,11958,10551,1407,21448,35.8,31.6,11.8
2025,1,"Ocak","January",2025-01-01,"Female",33428,12127,10634,1494,21300,36.3,31.8,12.3
2025,2,"Şubat","February",2025-02-01,"Female",33451,11825,10524,1301,21626,35.3,31.5,11
2025,3,"Mart","March",2025-03-01,"Female",33473,11660,10410,1250,21812,34.8,31.1,10.7
2025,4,"Nisan","April",2025-04-01,"Female",33496,12127,10820,1307,21369,36.2,32.3,10.8
2025,5,"Mayıs","May",2025-05-01,"Female",33519,12237,10957,1280,21282,36.5,32.7,10.5
2025,6,"Haziran","June",2025-06-01,"Female",33543,12060,10712,1348,21483,36,31.9,11.2
2025,7,"Temmuz","July",2025-07-01,"Female",33566,12451,11024,1427,21115,37.1,32.8,11.5
2025,8,"Ağustos","August",2025-08-01,"Female",33589,12677,11135,1542,20912,37.7,33.2,12.2
2025,9,"Eylül","September",2025-09-01,"Female",33613,12069,10616,1453,21544,35.9,31.6,12
2025,10,"Ekim","October",2025-10-01,"Female",33636,12586,11171,1415,21050,37.4,33.2,11.2
2025,11,"Kasım","November",2025-11-01,"Female",33660,12272,10854,1418,21387,36.5,32.2,11.6
2025,12,"Aralık","December",2025-12-01,"Female",33683,11477,10233,1243,22206,34.1,30.4,10.8
2026,1,"Ocak","January",2026-01-01,"Female",33711,11490,10191,1299,22220,34.1,30.2,11.3
2026,2,"Şubat","February",2026-02-01,"Female",33744,11706,10341,1366,22037,34.7,30.6,11.7
